"Date","Price","Open","High","Low","Vol.","Change %"
"30-06-2025","17,797.80","17,719.05","17,814.30","17,703.65","","0.88%"
"27-06-2025","17,642.30","17,579.35","17,662.65","17,543.95","","0.81%"
"26-06-2025","17,500.50","17,526.50","17,546.65","17,393.25","","0.26%"
"25-06-2025","17,455.60","17,272.35","17,464.70","17,261.75","","1.60%"
"24-06-2025","17,180.30","17,216.15","17,253.75","17,129.80","","0.78%"
"23-06-2025","17,048.00","16,799.10","17,058.65","16,796.90","","0.77%"
"20-06-2025","16,916.95","16,809.80","16,962.35","16,733.65","","0.62%"
"19-06-2025","16,813.05","17,144.60","17,209.25","16,772.95","","-1.93%"
"18-06-2025","17,143.60","17,169.80","17,274.90","17,044.35","","-0.20%"
"17-06-2025","17,177.30","17,328.35","17,371.10","17,150.25","","-0.69%"
"16-06-2025","17,296.30","17,218.35","17,319.55","16,931.30","","0.50%"
"13-06-2025","17,210.40","16,926.20","17,256.45","16,915.40","","-0.38%"
"12-06-2025","17,276.90","17,557.10","17,606.00","17,237.95","","-1.44%"
"11-06-2025","17,528.95","17,595.15","17,632.05","17,399.60","","-0.09%"
"10-06-2025","17,544.30","17,596.75","17,606.30","17,503.75","","0.17%"
"09-06-2025","17,515.15","17,396.75","17,531.05","17,364.80","","1.33%"
"06-06-2025","17,285.75","17,235.10","17,306.25","17,167.65","","0.65%"
"05-06-2025","17,173.45","17,123.60","17,219.50","17,122.85","","0.66%"
"04-06-2025","17,060.80","17,020.10","17,079.05","16,900.90","","0.53%"
"03-06-2025","16,971.25","17,015.35","17,063.45","16,939.90","","0.10%"
"02-06-2025","16,953.75","16,846.10","16,976.20","16,752.10","","0.72%"
"30-05-2025","16,833.05","16,817.35","16,872.30","16,750.40","","0.32%"
"29-05-2025","16,779.55","16,775.45","16,814.85","16,716.40","","0.44%"
"28-05-2025","16,706.35","16,706.70","16,744.95","16,674.70","","0.41%"
"27-05-2025","16,637.85","16,642.40","16,684.20","16,587.45","","0.11%"
"26-05-2025","16,619.10","16,592.75","16,693.75","16,563.00","","0.52%"
"23-05-2025","16,532.95","16,461.65","16,558.55","16,363.25","","0.59%"
"22-05-2025","16,436.45","16,424.90","16,494.95","16,339.20","","0.00%"
"21-05-2025","16,437.10","16,400.45","16,489.95","16,308.80","","0.42%"
"20-05-2025","16,368.65","16,618.40","16,656.10","16,338.00","","-0.90%"
"19-05-2025","16,516.80","16,483.65","16,606.50","16,376.00","","0.68%"
"16-05-2025","16,405.70","16,244.25","16,418.35","16,163.10","","1.53%"
"15-05-2025","16,159.25","16,112.65","16,172.80","16,052.10","","0.75%"
"14-05-2025","16,038.30","15,896.90","16,047.80","15,830.75","","1.41%"
